text,length,word_count,has_emoji,all_caps,insult,threat,identity_hate,gender,religion,ethnicity
Typical behavior for your gender Make me a sandwich 🖕,53,10,1,0,0,0,0,1,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
subhuman Go back to where you came from,39,8,0,0,0,0,1,0,0,0
failure Braindead moron 🖕,25,4,1,0,1,0,0,0,0,0
Braindead moron Your existence is a mistake 💩,45,8,1,0,1,0,0,0,0,0
Braindead moron,15,2,0,0,1,0,0,0,0,0
People like you should be banned 🖕,34,7,1,0,0,0,1,0,0,0
You're a pathetic loser 😭,25,5,1,0,1,0,0,0,0,0
vermin 💩,8,2,1,0,0,0,1,0,0,0
vermin,6,1,0,0,0,0,1,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
immigrant trash,15,2,0,0,0,0,0,0,0,1
Your god is fake cultist 🖕,26,6,1,0,0,0,0,0,1,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
I know wh1re you live I'll ruin your life,41,9,0,0,0,1,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
failure,7,1,0,0,1,0,0,0,0,0
Your god is fake heretic 🖕,26,6,1,0,0,0,0,0,1,0
immigrant trash,15,2,0,0,0,0,0,0,0,1
whore 💩,7,2,1,0,0,0,0,1,0,0
wor1hless Absolute waste of oxygen,34,5,0,0,1,0,0,0,0,0
Typical beha!ior for your gender slut,37,6,0,0,0,0,0,1,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
failure,7,1,0,0,1,0,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
cultist,7,1,0,0,0,0,0,0,1,0
k?ll yourself,13,2,0,0,0,1,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
slut,4,1,0,0,0,0,0,1,0,0
Go back to your country immigrant trash,39,7,0,0,0,0,0,0,0,1
Your god is fake Religious terrorists,37,6,0,0,0,0,0,0,1,0
Sleep with one eye open,23,5,0,0,0,1,0,0,0,0
subhuman People like you should be banned 😭,43,8,1,0,0,0,1,0,0,0
Your god is fake,16,4,0,0,0,0,0,0,1,0
People like you should be banned,32,6,0,0,0,0,1,0,0,0
You're a pathetic loser Braindead moron,39,6,0,0,1,0,0,0,0,0
slut 🤡,6,2,1,0,0,0,0,1,0,0
I know where you live kill yourself,35,7,0,0,0,1,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Braindead moron 🖕,17,3,1,0,1,0,0,0,0,0
immigrant trash Go back to your country 🖕,41,8,1,0,0,0,0,0,0,1
Have a nice day!,16,4,0,0,0,0,0,0,0,0
whore 💩,7,2,1,0,0,0,0,1,0,0
Your existence is a mistake worthless 🤡,39,7,1,0,1,0,0,0,0,0
clown 🖕,7,2,1,0,1,0,0,0,0,0
Your god is fake Religious terrorists,37,6,0,0,0,0,0,0,1,0
Your god is fake Religious terrorists,37,6,0,0,0,0,0,0,1,0
vermin People like you should be banned 😭,41,8,1,0,0,0,1,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
immigrant trash,15,2,0,0,0,0,0,0,0,1
vermin 😭,8,2,1,0,0,0,1,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
subhuman People like you should be banned,41,7,0,0,0,0,1,0,0,0
Sleep w1th one eye open 😭,25,6,1,0,0,1,0,0,0,0
subhuman,8,1,0,0,0,0,1,0,0,0
Go back to your country immigrant trash,39,7,0,0,0,0,0,0,0,1
vermin,6,1,0,0,0,0,1,0,0,0
Absolute waste of oxygen,24,4,0,0,1,0,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
heretic Religious terrorists 😭,30,4,1,0,0,0,0,0,1,0
whore slut,10,2,0,0,0,0,0,1,0,0
Typical behavior for your gender 😂,34,6,1,0,0,0,0,1,0,0
Sleep with one eye open,23,5,0,0,0,1,0,0,0,0
People l?ke y?u should be banned,32,6,0,0,0,0,1,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
I know where you live kill yourself,35,7,0,0,0,1,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Your existence is a mistake,27,5,0,0,1,0,0,0,0,0
Go back to your country immigrant trash 🤡,41,8,1,0,0,0,0,0,0,1
Go back to your country,23,5,0,0,0,0,0,0,0,1
Make me a sandwich whore,24,5,0,0,0,0,0,1,0,0
slut 💩,6,2,1,0,0,0,0,1,0,0
clown 😂,7,2,1,0,1,0,0,0,0,0
Sleep with one eye open,23,5,0,0,0,1,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Absolute waste of oxygen failure,32,5,0,0,1,0,0,0,0,0
failure Brainde1d moron 💩,25,4,1,0,1,0,0,0,0,0
People like y!u should be banned,32,6,0,0,0,0,1,0,0,0
Make me a sandwich whore,24,5,0,0,0,0,0,1,0,0
Go back to your country immigrant trash 🤡,41,8,1,0,0,0,0,0,0,1
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
cultist Religious terrorists 🤡,30,4,1,0,0,0,0,0,1,0
Typical behavior for your gender slut 🤡,39,7,1,0,0,0,0,1,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
whore slut,10,2,0,0,0,0,0,1,0,0
Religious terrorists,20,2,0,0,0,0,0,0,1,0
slut whore,10,2,0,0,0,0,0,1,0,0
vermin,6,1,0,0,0,0,1,0,0,0
People like y?u should be banned,32,6,0,0,0,0,1,0,0,0
Your existence is a mistake,27,5,0,0,1,0,0,0,0,0
slut Make me a sandwich,23,5,0,0,0,0,0,1,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
Your god is fake 💩,18,5,1,0,0,0,0,0,1,0
You're a pathetic loser Braindead moron,39,6,0,0,1,0,0,0,0,0
Your god is fake cultist,24,5,0,0,0,0,0,0,1,0
worthless,9,1,0,0,1,0,0,0,0,0
Typical behavior for your gender whore,38,6,0,0,0,0,0,1,0,0
kill yourself,13,2,0,0,0,1,0,0,0,0
Your god is fake,16,4,0,0,0,0,0,0,1,0
cultist heretic,15,2,0,0,0,0,0,0,1,0
subhuman People like you should be banned 😂,43,8,1,0,0,0,1,0,0,0
Sleep with one eye open kill yourself,37,7,0,0,0,1,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
immigrant tr!sh 🤡,17,3,1,0,0,0,0,0,0,1
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
vermin 😭,8,2,1,0,0,0,1,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Braindead moron,15,2,0,0,1,0,0,0,0,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
Great job on the project!,25,5,0,0,0,0,0,0,0,0
I know where y?u live I'll ruin yo1r life,41,9,0,0,0,1,0,0,0,0
I know where you li!e,21,5,0,0,0,1,0,0,0,0
Religious terrorists cultist,28,3,0,0,0,0,0,0,1,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Go back to where you came from 😂,32,8,1,0,0,0,1,0,0,0
subhuman Go back to where you came from,39,8,0,0,0,0,1,0,0,0
clown worthless,15,2,0,0,1,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
People like you should be banned,32,6,0,0,0,0,1,0,0,0
whore Typical behavior for your gender 😂,40,7,1,0,0,0,0,1,0,0
vermin People like you should be banned,39,7,0,0,0,0,1,0,0,0
w1ore slut 😭,12,3,1,0,0,0,0,1,0,0
I'll ruin your life 😂,21,5,1,0,0,1,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
B?aindead mo1on failu!e,23,3,0,0,1,0,0,0,0,0
Religious terrorists cultist,28,3,0,0,0,0,0,0,1,0
Typical behavior for your gender 🤡,34,6,1,0,0,0,0,1,0,0
Make me a sandwich whore 🤡,26,6,1,0,0,0,0,1,0,0
Make me a sandwich whore 💩,26,6,1,0,0,0,0,1,0,0
whore,5,1,0,0,0,0,0,1,0,0
subhuman Go back to where you came from,39,8,0,0,0,0,1,0,0,0
subhuman 😂,10,2,1,0,0,0,1,0,0,0
vermin People like you should be banned 😂,41,8,1,0,0,0,1,0,0,0
failure Braindead moron 🤡,25,4,1,0,1,0,0,0,0,0
immi?rant trash Go back to your country 🖕,41,8,1,0,0,0,0,0,0,1
vermin Go back to where you came from,37,8,0,0,0,0,1,0,0,0
subhuman vermin 😭,17,3,1,0,0,0,1,0,0,0
Go back to your country immigrant trash,39,7,0,0,0,0,0,0,0,1
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Make me a sandwich whore,24,5,0,0,0,0,0,1,0,0
People like you should be banned vermin,39,7,0,0,0,0,1,0,0,0
Make me a sandwich,18,4,0,0,0,0,0,1,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
I know where you live 💩,23,6,1,0,0,1,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
Go back to your country 😭,25,6,1,0,0,0,0,0,0,1
Go back to your country immigrant trash 🖕,41,8,1,0,0,0,0,0,0,1
Go back to where you came from People like you should be banned,63,13,0,0,0,0,1,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
kill yourself I'll ruin your life,33,6,0,0,0,1,0,0,0,0
Religio?s terrorists Yo?r god is fake 😂,39,7,1,0,0,0,0,0,1,0
I know where you live I'll ruin your life 😭,43,10,1,0,0,1,0,0,0,0
worthless,9,1,0,0,1,0,0,0,0,0
vermin,6,1,0,0,0,0,1,0,0,0
immigrant trash,15,2,0,0,0,0,0,0,0,1
kill yourself I'll ruin your life 🖕,35,7,1,0,0,1,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
I k1ow where y?u live k1ll yourself,35,7,0,0,0,1,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
slut Make me a sandwich 🤡,25,6,1,0,0,0,0,1,0,0
whore Typical behavior for your gender 🤡,40,7,1,0,0,0,0,1,0,0
worthless failure 💩,19,3,1,0,1,0,0,0,0,0
slut,4,1,0,0,0,0,0,1,0,0
worthless Braindead moron,25,3,0,0,1,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
I'll ruin your l1fe,19,4,0,0,0,1,0,0,0,0
I kn?w w1ere you live,21,5,0,0,0,1,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
immigrant trash,15,2,0,0,0,0,0,0,0,1
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
I'll ruin your life,19,4,0,0,0,1,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
cultist 🖕,9,2,1,0,0,0,0,0,1,0
Go back to your country,23,5,0,0,0,0,0,0,0,1
whore 🖕,7,2,1,0,0,0,0,1,0,0
subhuman,8,1,0,0,0,0,1,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
worthless c1own,15,2,0,0,1,0,0,0,0,0
Sleep with one eye open I'll ruin your life 🖕,45,10,1,0,0,1,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
ve!min 💩,8,2,1,0,0,0,1,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
People like you should be banned vermin,39,7,0,0,0,0,1,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Make me a sandwich Typical behavior f?r your gender,51,9,0,0,0,0,0,1,0,0
Go back to where you came from 😭,32,8,1,0,0,0,1,0,0,0
People like you should be banned,32,6,0,0,0,0,1,0,0,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
Great job on the project!,25,5,0,0,0,0,0,0,0,0
I'll ruin your life 🤡,21,5,1,0,0,1,0,0,0,0
cultist,7,1,0,0,0,0,0,0,1,0
immigrant trash,15,2,0,0,0,0,0,0,0,1
heretic 🤡,9,2,1,0,0,0,0,0,1,0
vermin subhuman 😭,17,3,1,0,0,0,1,0,0,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
Go back to where you came from,30,7,0,0,0,0,1,0,0,0
I'll ruin your life I know where you live 💩,43,10,1,0,0,1,0,0,0,0
immigrant trash Go back to your country 😂,41,8,1,0,0,0,0,0,0,1
clown Absolute waste of oxygen,30,5,0,0,1,0,0,0,0,0
clown 🤡,7,2,1,0,1,0,0,0,0,0
Make me a sandwich Typic?l behavior for your gender,51,9,0,0,0,0,0,1,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
Your existence is a mistake,27,5,0,0,1,0,0,0,0,0
Your god is fake,16,4,0,0,0,0,0,0,1,0
People like you should be banned,32,6,0,0,0,0,1,0,0,0
Typical behavior for your gender whore 🖕,40,7,1,0,0,0,0,1,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Your god is fake Religious terrorists,37,6,0,0,0,0,0,0,1,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
immigrant trash,15,2,0,0,0,0,0,0,0,1
vermin People like you should be banned,39,7,0,0,0,0,1,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Go back to your country immigrant trash,39,7,0,0,0,0,0,0,0,1
worthless 😂,11,2,1,0,1,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
I'll ruin your life 💩,21,5,1,0,0,1,0,0,0,0
Religious terrorists,20,2,0,0,0,0,0,0,1,0
Go back to where you came from subhuman 🖕,41,9,1,0,0,0,1,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
immigrant trash,15,2,0,0,0,0,0,0,0,1
immigrant trash Go back to your country 😭,41,8,1,0,0,0,0,0,0,1
cultist,7,1,0,0,0,0,0,0,1,0
heretic,7,1,0,0,0,0,0,0,1,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
I'll ruin your life,19,4,0,0,0,1,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Sleep with one eye open 🤡,25,6,1,0,0,1,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
immigrant trash 🖕,17,3,1,0,0,0,0,0,0,1
Go back to where you came from,30,7,0,0,0,0,1,0,0,0
You're a pathetic loser Your existence is a mistake,51,9,0,0,1,0,0,0,0,0
kill yourself 😂,15,3,1,0,0,1,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
heretic Religious terrorists,28,3,0,0,0,0,0,0,1,0
kill yourself,13,2,0,0,0,1,0,0,0,0
cultist Religious terrorists,28,3,0,0,0,0,0,0,1,0
slut whore,10,2,0,0,0,0,0,1,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
failure,7,1,0,0,1,0,0,0,0,0
People like you should be b!nned subhuman,41,7,0,0,0,0,1,0,0,0
Absolute waste of oxygen 🤡,26,5,1,0,1,0,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
heretic Your god is fake 🖕,26,6,1,0,0,0,0,0,1,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
vermin People like you should be banned,39,7,0,0,0,0,1,0,0,0
You're a pathetic loser,23,4,0,0,1,0,0,0,0,0
Go back to your country immigrant trash,39,7,0,0,0,0,0,0,0,1
Have a nice day!,16,4,0,0,0,0,0,0,0,0
vermin,6,1,0,0,0,0,1,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Braindead moron,15,2,0,0,1,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
subhuman,8,1,0,0,0,0,1,0,0,0
Make me a san?wich 🖕,20,5,1,0,0,0,0,1,0,0
I1ll r!in your li1e 💩,21,5,1,0,0,1,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
Religious terrorists 😂,22,3,1,0,0,0,0,0,1,0
Typical behavior for your gender slut,37,6,0,0,0,0,0,1,0,0
cultist Religious terro1ists,28,3,0,0,0,0,0,0,1,0
subhuman vermin,15,2,0,0,0,0,1,0,0,0
Go back to your country,23,5,0,0,0,0,0,0,0,1
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
subhuman Go back to where you came from,39,8,0,0,0,0,1,0,0,0
Sleep with one eye open 😂,25,6,1,0,0,1,0,0,0,0
I know where you live 😭,23,6,1,0,0,1,0,0,0,0
Go back to where you came from,30,7,0,0,0,0,1,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
I know where you live 😭,23,6,1,0,0,1,0,0,0,0
Your existence is a mistake,27,5,0,0,1,0,0,0,0,0
Go back to your country 😭,25,6,1,0,0,0,0,0,0,1
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Go back to where you came from People like you should be banned 🖕,65,14,1,0,0,0,1,0,0,0
subhuman vermin 😂,17,3,1,0,0,0,1,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
clown wo1thless 😂,17,3,1,0,1,0,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
Go back to where you came from 😂,32,8,1,0,0,0,1,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
failure Your existence is a mistake,35,6,0,0,1,0,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
subhuman 😭,10,2,1,0,0,0,1,0,0,0
I'll ruin your li!e 💩,21,5,1,0,0,1,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
whore Typical behavior for your gender 🖕,40,7,1,0,0,0,0,1,0,0
Go back to where you came from,30,7,0,0,0,0,1,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
slut,4,1,0,0,0,0,0,1,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
People like you should be banned 😂,34,7,1,0,0,0,1,0,0,0
subhuman People like you should be banned 💩,43,8,1,0,0,0,1,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
People like you should be banned vermin 🖕,41,8,1,0,0,0,1,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
Go back to where you came f1om subhuman 😭,41,9,1,0,0,0,1,0,0,0
Typical behavior for your gender Make me a sandwich,51,9,0,0,0,0,0,1,0,0
Absolute waste of oxygen failure,32,5,0,0,1,0,0,0,0,0
whore 😂,7,2,1,0,0,0,0,1,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
worthless Absolute waste of oxygen 🤡,36,6,1,0,1,0,0,0,0,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
Great job on the project!,25,5,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Go b1ck to your count1y 😂,25,6,1,0,0,0,0,0,0,1
People like you should be banned,32,6,0,0,0,0,1,0,0,0
fail!re,7,1,0,0,1,0,0,0,0,0
vermin 🖕,8,2,1,0,0,0,1,0,0,0
subhuman,8,1,0,0,0,0,1,0,0,0
Go back to where you came from People like you should be banned 😂,65,14,1,0,0,0,1,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
kill yourself 😂,15,3,1,0,0,1,0,0,0,0
Your god is fake 🤡,18,5,1,0,0,0,0,0,1,0
cultist Rel1gious terrorists,28,3,0,0,0,0,0,0,1,0
Absolute waste of oxygen clown 🤡,32,6,1,0,1,0,0,0,0,0
Typical behavior for your gender,32,5,0,0,0,0,0,1,0,0
heretic,7,1,0,0,0,0,0,0,1,0
Make me a sandwich slut 😂,25,6,1,0,0,0,0,1,0,0
slut 🖕,6,2,1,0,0,0,0,1,0,0
Go ba?k to y1ur c1untry,23,5,0,0,0,0,0,0,0,1
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Go back to your country,23,5,0,0,0,0,0,0,0,1
Typical behavior for your gender,32,5,0,0,0,0,0,1,0,0
subhuman vermin 🖕,17,3,1,0,0,0,1,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
subhuman,8,1,0,0,0,0,1,0,0,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
People like you should be banned Go back to where you came from 😂,65,14,1,0,0,0,1,0,0,0
Go back to where you came from 😭,32,8,1,0,0,0,1,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
worthless Braindead moron 😭,27,4,1,0,1,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
immigrant trash,15,2,0,0,0,0,0,0,0,1
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Your god is fake heretic 🖕,26,6,1,0,0,0,0,0,1,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
People like you should be banned vermin 😭,41,8,1,0,0,0,1,0,0,0
immigrant trash 🖕,17,3,1,0,0,0,0,0,0,1
Go back to where you came from,30,7,0,0,0,0,1,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Go back to your country immigrant trash,39,7,0,0,0,0,0,0,0,1
Typical behavior for your gender Make me a sandwich,51,9,0,0,0,0,0,1,0,0
People l!ke y!u should be banned subhuman,41,7,0,0,0,0,1,0,0,0
whore,5,1,0,0,0,0,0,1,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
heretic 😂,9,2,1,0,0,0,0,0,1,0
Sleep with one eye open,23,5,0,0,0,1,0,0,0,0
Go ba!k to your c!untry imm1grant trash,39,7,0,0,0,0,0,0,0,1
vermin 💩,8,2,1,0,0,0,1,0,0,0
Go back to your country 🤡,25,6,1,0,0,0,0,0,0,1
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
slut Make me a sandwich 💩,25,6,1,0,0,0,0,1,0,0
slut,4,1,0,0,0,0,0,1,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
slut 😭,6,2,1,0,0,0,0,1,0,0
I'll ruin yo1r li!e,19,4,0,0,0,1,0,0,0,0
cultist heretic,15,2,0,0,0,0,0,0,1,0
Go back to your country immigrant trash,39,7,0,0,0,0,0,0,0,1
I know where you live kill yourself,35,7,0,0,0,1,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
vermin People like you should be banned,39,7,0,0,0,0,1,0,0,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
Great job on the project!,25,5,0,0,0,0,0,0,0,0
I'll ruin your life kill yourself,33,6,0,0,0,1,0,0,0,0
Sleep with one eye open I'll ruin your life,43,9,0,0,0,1,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
People like you should be banned 💩,34,7,1,0,0,0,1,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Religious terrorists 💩,22,3,1,0,0,0,0,0,1,0
Go back to your country immigrant trash 🖕,41,8,1,0,0,0,0,0,0,1
I'll ruin your life 🖕,21,5,1,0,0,1,0,0,0,0
clown,5,1,0,0,1,0,0,0,0,0
cultist heretic,15,2,0,0,0,0,0,0,1,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Go back to your country,23,5,0,0,0,0,0,0,0,1
vermin,6,1,0,0,0,0,1,0,0,0
I know w1ere you live 😭,23,6,1,0,0,1,0,0,0,0
Go back to where you came from vermin,37,8,0,0,0,0,1,0,0,0
heretic cultist,15,2,0,0,0,0,0,0,1,0
I'll ruin your life I know where you live 😂,43,10,1,0,0,1,0,0,0,0
